uniqID,cmpd,dose,time,cmp_cond,comparison,mean1,mean2,sd1,sd2,log2FC,pP,pQ,thrsh,signf,effect
g0772,E28,0.16,72,cmpd,E28 | E08-Cym,221.95479856265658,208.04772564352984,23.30760273157655,11.271751824229856,0.09335138234222562,0.38406776833699297,0.2328000930063439,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",False,none
g0772,E28,0.3,72,cmpd,E28 | E08-Cym,220.10060907825638,227.364155078209,26.813509504730426,26.848041006963392,-0.04684168761056284,0.1209339238991763,0.06657626157658358,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",False,none
g0791,E28,0.16,72,cmpd,E28 | E08-Cym,42.654925103713744,230.2230770677593,6.537300968782612,28.81941575924289,-2.4322482179170155,3.8020122415759032,2.571563320197629,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",True,down
g0791,E28,0.3,72,cmpd,E28 | E08-Cym,26.31336545563501,212.24112615578053,6.697570956720312,13.824972775038903,-3.011836550861271,2.5003185312022977,1.269869609824024,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",True,down
g0796,E28,0.16,72,cmpd,E28 | E08-Cym,161.87297217190792,187.95128953268716,28.337931805975487,21.06637894925644,-0.2154966938697802,0.5344878338008964,0.2881468787631995,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",False,none
g0796,E28,0.3,72,cmpd,E28 | E08-Cym,142.75638734427196,172.083403125814,9.18907687869395,16.744869193390326,-0.269552663441738,1.2302931071301486,0.6019041770798371,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",False,none
g0830,E28,0.16,72,cmpd,E28 | E08-Cym,928.6879958619629,878.4380077813339,83.69676108332067,28.043329146075713,0.08025350944750187,0.39669150996993124,0.2328000930063439,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",False,none
g0830,E28,0.3,72,cmpd,E28 | E08-Cym,1007.6139187571872,994.9659283283536,103.53391549624429,97.01334189339177,0.018223928227108388,0.05318013302966573,0.02685119430731659,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",False,none
g0849,E28,0.16,72,cmpd,E28 | E08-Cym,210.43268924067985,196.3878245042331,7.977257486599199,4.851204879885982,0.09965334521542157,1.173542172964718,0.5451532429144065,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",False,none
g0849,E28,0.3,72,cmpd,E28 | E08-Cym,212.71711203573736,213.35729005595104,16.022003366859995,19.86429475911189,-0.00433531019706912,0.014347882525924331,0.014347882525924331,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",False,none
g0854,E28,0.16,72,cmpd,E28 | E08-Cym,18.18257575459088,18.979387918498837,6.326928991689987,4.387717724893338,-0.061876879425630804,0.06111559693787601,0.03478473398998777,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",False,none
g0854,E28,0.3,72,cmpd,E28 | E08-Cym,14.132072984798853,18.74008356806655,4.16334423014092,5.317278773516915,-0.40715428132398523,0.5255645786034335,0.2433682097258995,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",False,none
g0878,E28,0.16,72,cmpd,E28 | E08-Cym,49.45664869214863,28.38959828996584,11.074721925247667,0.6549155298019954,0.8008020471545629,1.3111970396767654,0.557869373018154,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",False,none
g0878,E28,0.3,72,cmpd,E28 | E08-Cym,51.07627223063045,53.97220336853851,11.225411487016194,7.266615809203747,-0.07956335059116881,0.13468598697455555,0.06657626157658358,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",False,none
g0903,E28,0.16,72,cmpd,E28 | E08-Cym,1297.8081958867717,1082.006055100056,33.90192855394362,126.42566999331117,0.26236860926744043,0.966172231704299,0.43469331466204386,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",False,none
g0903,E28,0.3,72,cmpd,E28 | E08-Cym,1269.6167588985115,1148.3290764459246,107.42625574530976,135.01452223364112,0.14485694282922879,0.5195746216648486,0.2433682097258995,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",False,none
g0953,E28,0.16,72,cmpd,E28 | E08-Cym,50.89117795566567,43.352259177303665,1.9687839408193046,8.78823993555275,0.23130840785219497,0.5185958001414734,0.2881468787631995,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",False,none
g0953,E28,0.3,72,cmpd,E28 | E08-Cym,73.42046179339695,61.776063528321636,7.717518565942846,7.897555233686373,0.24913424558932107,0.830643568006064,0.29997901169858726,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",False,none
g0958,E28,0.16,72,cmpd,E28 | E08-Cym,421.58553520341377,547.6676538498414,41.68508500108158,127.54216872673985,-0.3774753066628449,0.7414751623670512,0.3579457076858531,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",False,none
g0958,E28,0.3,72,cmpd,E28 | E08-Cym,385.02387229132773,459.80014943311795,59.50105988982692,22.4089166619939,-0.25605903621300286,0.7522766826932176,0.29997901169858726,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",False,none
g1200,E28,0.16,72,cmpd,E28 | E08-Cym,17.67474145352994,6.95262120878161,0.2391557744397334,2.3369561320569208,1.3460602152354912,1.394165415133107,0.557869373018154,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",True,up
g1200,E28,0.3,72,cmpd,E28 | E08-Cym,10.665861184298466,22.22982955304626,8.184144165561165,9.87362876664194,-1.0594964299153,0.6174458383484173,0.2433682097258995,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",False,none
g1227,E28,0.16,72,cmpd,E28 | E08-Cym,343.6014398785568,293.3408900068185,50.32319527802003,19.97703573865119,0.22815789379766294,0.7120848374490658,0.3579457076858531,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",False,none
g1227,E28,0.3,72,cmpd,E28 | E08-Cym,319.1590336817842,331.8551331812841,10.989642337707712,18.11143611307798,-0.05627810687412982,0.43864769978237955,0.2081987784041057,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",False,none
